phenomena,metric,month,month_label,var_2025,base_mean_var,base_min_var,base_max_var,n_2025,n_base_total,below_min,above_max
FF,FAR,1,Jan,0.253968253968254,0.24355574677739802,0.206540447504303,0.26666666666666666,28,614,False,False
FF,FAR,2,Feb,0.2268295085196494,0.23390086842330515,0.2018987341772152,0.2534562211981567,143,779,False,False
FF,FAR,3,Mar,0.24657905432868166,0.24124877789359012,0.1765822784810127,0.2517361111111111,122,1269,False,False
FF,FAR,4,Apr,0.24986115237074255,0.23946250464773863,0.2286686947703897,0.25104969222616275,557,1413,False,False
FF,FAR,5,May,0.24786142571618922,0.24461462696750788,0.2197368791728878,0.2506390204665297,475,3998,False,False
FF,FAR,6,Jun,0.24955076664786666,0.24297802705619553,0.21690315557637033,0.2505272593061269,957,4721,False,False
FF,FAR,7,Jul,0.24864434372181815,0.24115724415054401,0.23460311354373214,0.24906470359511101,1432,7973,False,False
FF,FAR,8,Aug,0.2408004630778136,0.24238175870172085,0.22768856674513097,0.24980990610245582,696,7726,False,False
FF,FAR,9,Sep,0.2196683989111606,0.24392081941371846,0.21949673228192393,0.25031609609321237,450,3554,False,False
FF,FAR,10,Oct,0.24768211920529798,0.23694653966433699,0.2062415196743555,0.2536231884057972,151,1186,False,False
FF,FAR,11,Nov,0.2537313432835821,0.23594341492841764,0.14705882352941177,0.3,68,456,False,False
FF,FAR,12,Dec,0.2525062656641604,0.2413362547096238,0.22089761570827487,0.26000000000000006,57,449,False,False
FF,LTA,1,Jan,1653.0666666666666,3647.2906719547736,984.7472527472526,8527.939560439561,16,310,False,False
FF,LTA,2,Feb,7157.521047815145,3463.9966140437714,1771.2973484848483,6316.034373586613,94,453,False,True
FF,LTA,3,Mar,2185.594268476622,5041.974258361503,2484.6306306306305,9028.852941176472,52,613,True,False
FF,LTA,4,Apr,7842.307975986278,4457.961634446128,2080.273752563227,6481.056493628776,265,792,False,True
FF,LTA,5,May,2780.304809992028,3727.14207544532,2338.9911936704502,4887.601215521272,213,1862,False,False
FF,LTA,6,Jun,2504.0246146633062,2931.934391056709,2275.043177445613,4012.312771725234,453,2162,False,False
FF,LTA,7,Jul,2328.3780659401295,2687.1551932965513,1529.1054473942977,3223.8713029394853,660,3261,False,False
FF,LTA,8,Aug,2088.415719406042,3849.053257933475,2559.4925142470784,6075.833540106955,280,3169,True,False
FF,LTA,9,Sep,2969.655597543694,5363.421767990945,3427.408695652173,6785.486398210292,146,1631,True,False
FF,LTA,10,Oct,3149.922843822844,5367.273409620099,2486.3025210084033,9028.712500000001,66,556,False,False
FF,LTA,11,Nov,2253.6934046345814,2654.9151391617515,259.0,5211.385447885448,34,236,False,False
FF,LTA,12,Dec,6835.8538461538465,3354.3868210668484,1358.5636363636363,5244.660526315788,26,229,False,True
FF,POD,1,Jan,0.24872579001019376,0.22615691985366157,0.1877289377289377,0.25000000000000006,109,1712,False,False
FF,POD,2,Feb,0.23717455286393474,0.2067666816019459,0.11452077334430273,0.2477685441674361,631,2108,False,False
FF,POD,3,Mar,0.23375431778929187,0.1907886085385864,0.09974203769905755,0.24467128916281464,193,2259,False,False
FF,POD,4,Apr,0.15666104354186083,0.1655580597582138,0.11111643852036535,0.21672908863920098,824,2858,False,False
FF,POD,5,May,0.12094644791135216,0.16301006055302905,0.1232256115977046,0.20496894409937877,669,5050,True,False
FF,POD,6,Jun,0.12282540305734663,0.15174778381722037,0.12178646249002391,0.20981139450796446,1410,5958,False,False
FF,POD,7,Jul,0.11257281684925444,0.14701616920445107,0.1123553279544909,0.19493310130014227,2105,9177,False,False
FF,POD,8,Aug,0.1574418630029355,0.14778760019513915,0.12372201022391831,0.1890299519290028,742,8903,False,False
FF,POD,9,Sep,0.17190698436092686,0.14960379503757065,0.11194892523894061,0.21158446816341542,414,5184,False,False
FF,POD,10,Oct,0.21222091656874267,0.18003949073222067,0.08276797829036636,0.24375,185,1841,False,False
FF,POD,11,Nov,0.24123305309399387,0.22254112441868376,0.16866359447004606,0.2567567567567568,163,952,False,False
FF,POD,12,Dec,0.23535564853556484,0.23151587561753426,0.148363800496502,0.25469387755102046,240,974,False,False
SV,FAR,1,Jan,0.23565691336775674,0.23692224009088336,0.2135593220338983,0.25210084033613445,84,2575,False,False
SV,FAR,2,Feb,0.24515161255759135,0.2438812496789327,0.23621654781075077,0.250500623417841,306,2368,False,False
SV,FAR,3,Mar,0.24741067031211886,0.24631167856946984,0.22809089032503893,0.2501711323161404,2085,9263,False,False
SV,FAR,4,Apr,0.24758090879372352,0.24723054372074818,0.2361755993966564,0.25019935155089434,3060,16362,False,False
SV,FAR,5,May,0.24985598912186716,0.2488146737313594,0.24383225809296027,0.25004084687249434,4618,32574,False,False
SV,FAR,6,Jun,0.24915096193417544,0.24799840328782205,0.24450130851991883,0.2500645827951441,5089,34876,False,False
SV,FAR,7,Jul,0.24681529843825348,0.2485218000346345,0.24490645635230238,0.2500727550339414,3851,34584,False,False
SV,FAR,8,Aug,0.23751274286175528,0.24837046302295768,0.2445376244649936,0.2501094068547398,2004,24203,True,False
SV,FAR,9,Sep,0.23072908640329867,0.24310068101282006,0.2331684886343919,0.24991998921960026,1550,8423,True,False
SV,FAR,10,Oct,0.21356535495352974,0.2331890099542616,0.20846546505849925,0.25037840637679476,390,3813,False,False
SV,FAR,11,Nov,0.2394200626959248,0.22901301978000163,0.146218487394958,0.2506775067750678,232,1879,False,False
SV,FAR,12,Dec,0.250776397515528,0.2414937744413795,0.18877551020408165,0.2531969309462916,161,1926,False,False
SV,LTA,1,Jan,156.9784946236559,167.44617305289668,69.38888888888889,236.85374149659867,31,1338,False,False
SV,LTA,2,Feb,192.32818181818186,145.32857849713622,114.5391705069124,191.43492063492067,176,1198,False,True
SV,LTA,3,Mar,170.66314962414535,154.15891659284623,125.46753428491456,175.32268148348922,1151,4783,False,False
SV,LTA,4,Apr,158.21168786205268,159.17301758480895,145.36691701533326,168.5450004827342,1377,8654,False,False
SV,LTA,5,May,158.11400093616663,163.22748033563434,147.12144855619516,184.96908386370956,2244,15778,False,False
SV,LTA,6,Jun,166.0669496047749,152.1643728464196,143.66147502445733,161.26355755317755,2392,18586,False,True
SV,LTA,7,Jul,156.65294922526326,146.3801908481202,139.7481139199809,153.2709118177113,1706,18479,False,True
SV,LTA,8,Aug,165.6089771656782,140.66368175486033,121.66098238599491,153.5039918041784,777,11996,False,True
SV,LTA,9,Sep,137.94163925596783,153.98639521317858,136.0875097580014,168.786842387228,559,3679,False,False
SV,LTA,10,Oct,164.28459383753503,152.0899630935496,108.02923514538564,197.2379067052434,120,1496,False,False
SV,LTA,11,Nov,142.4957264957265,160.90300415029952,116.86748566748567,212.5666666666667,91,892,False,False
SV,LTA,12,Dec,91.10980392156863,161.11676482932796,83.81842105263158,223.7897897897898,85,910,False,False
SV,POD,1,Jan,0.24963369963369964,0.19781516542473665,0.11455020718897561,0.23855890944498542,105,4258,False,True
SV,POD,2,Feb,0.14385683147871975,0.20878086116337558,0.14972437817987372,0.251002766251729,759,4403,True,False
SV,POD,3,Mar,0.13496208171010107,0.16199580954200954,0.14696296488696214,0.18374794837962224,3962,14689,True,False
SV,POD,4,Apr,0.13327745238732233,0.14398080491379453,0.12314091142836793,0.15890032865485043,4788,26641,False,False
SV,POD,5,May,0.1361629936321527,0.1528111205690565,0.13581351249781964,0.17089209752465323,6840,44838,False,False
SV,POD,6,Jun,0.1412753387211315,0.1643976756225209,0.1414804458372577,0.17584850259415266,7654,56076,True,False
SV,POD,7,Jul,0.19553914500530578,0.1755898779265146,0.16332585617327072,0.19960197176189737,5151,55268,False,False
SV,POD,8,Aug,0.1987335754240803,0.189913116652731,0.16468595129085334,0.20889167730350708,2436,35921,False,False
SV,POD,9,Sep,0.1943150996760375,0.2111551006386162,0.16303007330133598,0.2412840956909444,1509,10912,False,False
SV,POD,10,Oct,0.2119879366675044,0.1990358294518867,0.1363778705636744,0.2426290809722422,346,4726,False,False
SV,POD,11,Nov,0.2055846108953783,0.19401311681126188,0.12856028655612675,0.236678814143603,299,3259,False,False
SV,POD,12,Dec,0.24087221579887827,0.22094682437884192,0.15370198624314074,0.25139072847682115,458,3255,False,False
TO,FAR,1,Jan,0.2380952380952381,0.17600328326595607,0.12721631205673758,0.21917152431640882,28,1091,False,True
TO,FAR,2,Feb,0.16340721425467195,0.1926908258450069,0.1306240928882438,0.22522522522522515,118,821,False,False
TO,FAR,3,Mar,0.22044735704371177,0.19898063526676504,0.1617705596688161,0.21169770225457676,514,2268,False,True
TO,FAR,4,Apr,0.1763332247203215,0.21105185835671347,0.1815751235106074,0.24045745692402548,837,3359,True,False
TO,FAR,5,May,0.20752153512150712,0.19763221175720133,0.16311245299009466,0.2196970600512851,655,4723,False,False
TO,FAR,6,Jun,0.1955047539149888,0.17732941330097654,0.14530139510397475,0.19793510324483762,448,2490,False,False
TO,FAR,7,Jul,0.16937553464499572,0.17314124953208823,0.11584282965813222,0.2017087526105943,168,1828,False,False
TO,FAR,8,Aug,0.15734265734265734,0.16659274376442876,0.12276785714285714,0.2288615965989608,78,2099,False,False
TO,FAR,9,Sep,0.23630136986301375,0.13424070123456813,0.08288770053475934,0.2197455814477091,73,1310,False,True
TO,FAR,10,Oct,0.16326530612244902,0.1834979242208755,0.13279678068410466,0.24976873265494912,50,1103,False,False
TO,FAR,11,Nov,0.23076923076923075,0.17883438689012993,0.10480225988700566,0.22580645161290316,13,850,False,True
TO,FAR,12,Dec,0.13608870967741934,0.2067326779789174,0.14227642276422767,0.24645593869731805,32,1051,True,False
TO,LTA,1,Jan,153.06666666666666,84.46334848078301,30.694444444444443,141.34615384615384,10,281,False,True
TO,LTA,2,Feb,79.85326086956522,85.47841540536496,43.766666666666666,133.27384615384614,24,216,False,False
TO,LTA,3,Mar,95.62271884801824,95.00105125040801,67.85483870967742,130.7334693001288,168,637,False,False
TO,LTA,4,Apr,108.28729677597134,95.03260607144233,70.82594417077172,119.27994995308099,191,1052,False,False
TO,LTA,5,May,95.9234020506108,99.19306911604613,72.82117734172526,119.56687172476646,192,1309,False,False
TO,LTA,6,Jun,91.22404215923655,86.36050297360063,45.699033816425136,115.36229508196719,119,586,False,False
TO,LTA,7,Jul,82.94920634920636,77.39376194918549,36.45591397849463,135.1226890756303,36,413,False,False
TO,LTA,8,Aug,52.23809523809524,82.77649071661044,50.883190883190885,141.1726342710997,15,444,False,False
TO,LTA,9,Sep,92.36182336182334,73.35527443761193,32.266666666666666,132.29583333333332,27,231,False,False
TO,LTA,10,Oct,121.43333333333332,86.81283693537438,45.29545454545455,119.87375415282392,10,279,False,True
TO,LTA,11,Nov,59.333333333333336,85.50234213767018,0.5000000000000001,163.34444444444443,4,185,False,False
TO,LTA,12,Dec,11.7,83.0864050859128,24.333333333333332,118.58666666666667,5,337,True,False
TO,POD,1,Jan,0.25000000000000006,0.22748543013638967,0.18398268398268394,0.2647058823529411,25,763,False,False
TO,POD,2,Feb,0.2335992907801418,0.18044401765796897,0.0,0.2532467532467533,48,651,False,False
TO,POD,3,Mar,0.18070933695933697,0.2212265858777294,0.18213627992633513,0.25175592625109733,352,1685,True,False
TO,POD,4,Apr,0.1955776762402089,0.20641502266626321,0.18125082990306735,0.23814263673916286,384,2611,False,False
TO,POD,5,May,0.18288770053475936,0.2331241865550958,0.2037679149329636,0.2514927155481252,375,3282,True,False
TO,POD,6,Jun,0.2308077795012528,0.24034342283787657,0.21750353527418007,0.25224991346486686,290,1673,False,False
TO,POD,7,Jul,0.2504295532646048,0.24463489002702607,0.22413793103448262,0.25210084033613445,97,1254,False,False
TO,POD,8,Aug,0.25525525525525533,0.23549246511307206,0.2184126984126985,0.2495356037151702,37,1265,False,True
TO,POD,9,Sep,0.23947750362844705,0.23229841123356357,0.1813186813186813,0.26086956521739124,53,565,False,False
TO,POD,10,Oct,0.2554621848739496,0.2128160752484045,0.12890094979647226,0.24838709677419354,35,698,False,True
TO,POD,11,Nov,0.26143790849673204,0.22432198804221537,0.15076549663928304,0.2559139784946236,18,572,False,True
TO,POD,12,Dec,0.2605263157894737,0.20336541459494922,0.08052541404911481,0.26666666666666666,20,903,False,False
